Geolocation,Commodity,Period_Raw,Farmgate_Price_PHP,Year,Month,Date,price_lag_1m,mom_pct_change,rolling_12m_mean,rolling_12m_std,z_score,is_surge
....Quezon,Ampalaya fruit [Bitter gourd],2010 January,23.12,2010,January,2010-01-01,,,,,,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 February,20.94,2010,February,2010-02-01,23.12,-9.429065743944635,,,,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 March,20.06,2010,March,2010-03-01,20.94,-4.202483285577854,,,,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 April,16.68,2010,April,2010-04-01,20.06,-16.849451645064804,,,,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 May,23.68,2010,May,2010-05-01,16.68,41.96642685851319,,,,True
....Quezon,Ampalaya fruit [Bitter gourd],2010 June,19.24,2010,June,2010-06-01,23.68,-18.750000000000007,20.62,2.586797247563095,-0.5334782234286194,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 July,24.8,2010,July,2010-07-01,19.24,28.89812889812891,21.217142857142857,2.841183522675685,1.2610438974681184,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 August,16.8,2010,August,2010-08-01,24.8,-32.25806451612903,20.665,3.0590895003952685,-1.2634478329256458,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 September,13.63,2010,September,2010-09-01,16.8,-18.86904761904762,19.883333333333333,3.699635117143311,-1.6902567781229925,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 October,18.39,2010,October,2010-10-01,13.63,34.92296404988994,19.734,3.519871209765115,-0.3818321523444853,False
....Quezon,Ampalaya fruit [Bitter gourd],2010 November,24.94,2010,November,2010-11-01,18.39,35.617183251767266,20.207272727272727,3.689769886887503,1.2826619051627512,True
....Quezon,Ampalaya fruit [Bitter gourd],2010 December,17.49,2010,December,2010-12-01,24.94,-29.87169206094628,19.980833333333333,3.6044453824619835,-0.691044826328314,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 January,23.5,2011,January,2011-01-01,17.49,34.3624928530589,20.0125,3.636062118181251,0.9591420296593941,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 February,22.05,2011,February,2011-02-01,23.5,-6.1702127659574435,20.105,3.6757052508204584,0.5291501541277975,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 March,26.12,2011,March,2011-03-01,22.05,18.458049886621318,20.61,4.064668162682813,1.3555842148657031,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 April,28.29,2011,April,2011-04-01,26.12,8.307810107197543,21.5775,4.411159659936892,1.5217086928329477,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 May,22.2,2011,May,2011-05-01,28.29,-21.5270413573701,21.454166666666666,4.367504921854612,0.17076874478177437,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 June,26.79,2011,June,2011-06-01,22.2,20.675675675675677,22.083333333333332,4.559151303264746,1.0323558823977366,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 July,16.98,2011,July,2011-07-01,26.79,-36.618141097424406,21.43166666666667,4.692471404152389,-0.9486827480136305,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 August,31.33,2011,August,2011-08-01,16.98,84.51118963486454,22.642500000000002,5.232272450857278,1.6603684310392894,True
....Quezon,Ampalaya fruit [Bitter gourd],2011 September,27.37,2011,September,2011-09-01,31.33,-12.639642515161178,23.787499999999998,4.538073529994462,0.7894318979896244,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 October,35.58,2011,October,2011-10-01,27.37,29.9963463646328,25.22,5.324391557215295,1.9457622319231485,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 November,32.41,2011,November,2011-11-01,35.58,-8.90949971894323,25.842499999999998,5.711298411522077,1.149913649539062,False
....Quezon,Ampalaya fruit [Bitter gourd],2011 December,20.55,2011,December,2011-12-01,32.41,-36.593643937056456,26.0975,5.362108006439943,-1.034574460890642,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 January,27.0,2012,January,2012-01-01,20.55,31.386861313868607,26.389166666666668,5.302837076566292,0.11518991145940703,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 February,25.0,2012,February,2012-02-01,27.0,-7.4074074074074066,26.635,5.149555144070045,-0.31750315401181417,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 March,26.81,2012,March,2012-03-01,25.0,7.239999999999995,26.6925,5.147133580052997,0.02282823986837153,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 April,21.8,2012,April,2012-04-01,26.81,-18.687057068258106,26.151666666666667,5.302635422527415,-0.820661109036328,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 May,23.99,2012,May,2012-05-01,21.8,10.045871559633017,26.300833333333333,5.205656815310433,-0.44390812059237356,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 June,24.54,2012,June,2012-06-01,23.99,2.2926219258024205,26.11333333333333,5.226913452739036,-0.30100619563709513,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 July,28.3,2012,July,2012-07-01,24.54,15.321923390383056,27.05666666666667,4.381905632221792,0.283742608282259,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 August,22.5,2012,August,2012-08-01,28.3,-20.49469964664311,26.320833333333336,4.340260692491634,-0.8803234653492422,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 September,28.1,2012,September,2012-09-01,22.5,24.888888888888896,26.38166666666667,4.361367244617715,0.3939895993518763,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 October,30.4,2012,October,2012-10-01,28.1,8.185053380782907,25.95,3.5488589715569234,1.2539241586282972,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 November,31.57,2012,November,2012-11-01,30.4,3.8486842105263217,25.88,3.41563783475091,1.6658674822340913,False
....Quezon,Ampalaya fruit [Bitter gourd],2012 December,26.53,2012,December,2012-12-01,31.57,-15.964523281596449,26.378333333333334,2.9751389068666354,0.0509780119229458,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 January,33.18,2013,January,2013-01-01,26.53,25.06596306068601,26.893333333333334,3.5682879351138252,1.7618159691662119,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 February,26.16,2013,February,2013-02-01,33.18,-21.157323688969257,26.99,3.527816734056775,-0.23527299249628217,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 March,28.12,2013,March,2013-03-01,26.16,7.492354740061165,27.099166666666665,3.541980592147792,0.2882097478445869,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 April,20.64,2013,April,2013-04-01,28.12,-26.600284495021338,27.002499999999998,3.711522904782803,-1.7142558898938893,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 May,22.73,2013,May,2013-05-01,20.64,10.12596899224806,26.897499999999997,3.820711797082284,-1.0907653393753856,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 June,23.09,2013,June,2013-06-01,22.73,1.5838099428068606,26.776666666666667,3.9235914283943725,-0.9396153330305698,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 July,20.87,2013,July,2013-07-01,23.09,-9.614551754006058,26.1575,4.2352205588160645,-1.2484591833106546,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 August,24.02,2013,August,2013-08-01,20.87,15.093435553425962,26.284166666666668,4.137490364357553,-0.5472318887244673,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 September,25.1,2013,September,2013-09-01,24.02,4.496253122398009,26.034166666666664,4.108329583869464,-0.22738357466121548,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 October,30.2,2013,October,2013-10-01,25.1,20.318725099601583,26.0175,4.089370089301383,1.0227736567405001,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 November,28.48,2013,November,2013-11-01,30.2,-5.695364238410592,25.76,3.7946181985447947,0.7168046579872244,False
....Quezon,Ampalaya fruit [Bitter gourd],2013 December,28.45,2013,December,2013-12-01,28.48,-0.10533707865168938,25.919999999999998,3.8697709586908817,0.6537854635344836,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 January,29.45,2014,January,2014-01-01,28.45,3.5149384885764503,25.60916666666667,3.3482735261714613,1.1471085929246283,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 February,25.26,2014,February,2014-02-01,29.45,-14.227504244482168,25.534166666666668,3.3448915142982303,-0.0819657873789629,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 March,27.3,2014,March,2014-03-01,25.26,8.076009501187645,25.465833333333336,3.29527060092694,0.5566057810702175,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 April,18.23,2014,April,2014-04-01,27.3,-33.22344322344322,25.265,3.6684341470045707,-1.9177119495914545,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 May,19.87,2014,May,2014-05-01,18.23,8.996160175534836,25.026666666666667,3.9315699693942214,-1.3116049585303982,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 June,27.32,2014,June,2014-06-01,19.87,37.49370910920986,25.379166666666666,3.9317737342031465,0.493627930938575,True
....Quezon,Ampalaya fruit [Bitter gourd],2014 July,35.68,2014,July,2014-07-01,27.32,30.600292825768665,26.613333333333333,4.647030984370241,1.9510665405850243,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 August,27.37,2014,August,2014-08-01,35.68,-23.290358744394617,26.8925,4.577174843225309,0.1043219925729409,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 September,23.93,2014,September,2014-09-01,27.37,-12.568505663134824,26.795,4.630973783322279,-0.6186603798790326,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 October,19.99,2014,October,2014-10-01,23.93,-16.46468867530297,25.94416666666667,4.879754946032987,-1.2201773926182773,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 November,18.14,2014,November,2014-11-01,19.99,-9.254627313656819,25.0825,5.287180250379219,-1.3130817697206472,False
....Quezon,Ampalaya fruit [Bitter gourd],2014 December,23.4,2014,December,2014-12-01,18.14,28.996692392502744,24.661666666666665,5.194950053716217,-0.24286406098632868,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 January,25.0,2015,January,2015-01-01,23.4,6.8376068376068435,24.290833333333335,4.976295552340363,0.1425089525346102,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 February,23.68,2015,February,2015-02-01,25.0,-5.280000000000001,24.159166666666664,4.9692188124554,-0.096426960605081,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 March,27.28,2015,March,2015-03-01,23.68,15.202702702702709,24.157500000000002,4.9680728383622546,0.628513329331408,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 April,23.06,2015,April,2015-04-01,27.28,-15.469208211143703,24.560000000000002,4.628217799542289,-0.32409883565729064,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 May,27.47,2015,May,2015-05-01,23.06,19.124024284475283,25.19333333333333,4.444435404031217,0.5122510419662467,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 June,25.77,2015,June,2015-06-01,27.47,-6.188569348380049,25.064166666666665,4.399304611027307,0.16044202339708213,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 July,29.56,2015,July,2015-07-01,25.77,14.707023670935193,24.554166666666664,3.2653566096031303,1.5330127553638748,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 August,27.25,2015,August,2015-08-01,29.56,-7.81461434370771,24.544166666666666,3.256119995369103,0.8309992682031394,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 September,23.69,2015,September,2015-09-01,27.25,-13.064220183486233,24.524166666666662,3.2609687861496752,-0.25580332759075164,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 October,32.57,2015,October,2015-10-01,23.69,37.48417053609117,25.5725,3.667570721881183,1.9079386685720998,True
....Quezon,Ampalaya fruit [Bitter gourd],2015 November,26.37,2015,November,2015-11-01,32.57,-19.035922628185446,26.258333333333336,2.823784801655513,0.03954503423957706,False
....Quezon,Ampalaya fruit [Bitter gourd],2015 December,35.46,2015,December,2015-12-01,26.37,34.47098976109215,27.263333333333335,3.718402231001267,2.2043518042047645,True
....Quezon,Ampalaya fruit [Bitter gourd],2016 January,33.03,2016,January,2016-01-01,35.46,-6.852791878172589,27.932500000000005,3.9869106860051255,1.2785588646099515,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 February,30.24,2016,February,2016-02-01,33.03,-8.446866485013633,28.479166666666668,3.7959870158158417,0.4638670590802557,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 March,22.23,2016,March,2016-03-01,30.24,-26.488095238095234,28.058333333333334,4.199497444680593,-1.3878644790499752,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 April,30.4,2016,April,2016-04-01,22.23,36.75213675213674,28.669999999999998,3.9312732149914393,0.4400609943371152,True
....Quezon,Ampalaya fruit [Bitter gourd],2016 May,31.09,2016,May,2016-05-01,30.4,2.2697368421052673,28.971666666666668,3.9695244352975427,0.5336491481188096,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 June,29.67,2016,June,2016-06-01,31.09,-4.567385011257633,29.296666666666667,3.841139351175839,0.09719338435848496,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 July,26.5,2016,July,2016-07-01,29.67,-10.684192787327271,29.04166666666667,3.922772288094538,-0.6479261297884996,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 August,33.45,2016,August,2016-08-01,26.5,26.226415094339632,29.558333333333337,4.07084497222368,0.9559849842527559,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 September,30.59,2016,September,2016-09-01,33.45,-8.550074738415555,30.13333333333333,3.630039652509033,0.12580211523337737,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 October,66.14,2016,October,2016-10-01,30.59,116.21444916639423,32.93083333333333,11.043631203164797,3.0070876196182508,True
....Quezon,Ampalaya fruit [Bitter gourd],2016 November,47.19,2016,November,2016-11-01,66.14,-28.6513456304808,34.66583333333333,11.543342401049998,1.0849688271853957,False
....Quezon,Ampalaya fruit [Bitter gourd],2016 December,40.16,2016,December,2016-12-01,47.19,-14.897223988133081,35.0575,11.65196286624548,0.4379090509103328,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 January,55.14,2017,January,2017-01-01,40.16,37.30079681274901,36.9,12.97518260512597,1.4057605626909724,True
....Quezon,Ampalaya fruit [Bitter gourd],2017 February,37.07,2017,February,2017-02-01,55.14,-32.771128037722164,37.469166666666666,12.80516547643129,-0.03117231615642588,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 March,34.05,2017,March,2017-03-01,37.07,-8.146749393040203,38.454166666666666,11.952598392539306,-0.36846939234699844,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 April,18.54,2017,April,2017-04-01,34.05,-45.55066079295154,37.465833333333336,13.113121435717687,-1.4432744656648195,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 May,17.07,2017,May,2017-05-01,18.54,-7.928802588996758,36.2975,14.303376031870616,-1.344263057697533,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 June,37.76,2017,June,2017-06-01,17.07,121.20679554774456,36.971666666666664,14.15246000674173,0.05570291899484612,True
....Quezon,Ampalaya fruit [Bitter gourd],2017 July,29.79,2017,July,2017-07-01,37.76,-21.106991525423727,37.24583333333333,13.961739575342925,-0.5340189374754329,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 August,27.77,2017,August,2017-08-01,29.79,-6.78079892581403,36.7725,14.196434971819185,-0.6341380788818128,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 September,22.95,2017,September,2017-09-01,27.77,-17.35685992077782,36.13583333333333,14.662569822097307,-0.899285288548911,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 October,41.5,2017,October,2017-10-01,22.95,80.82788671023965,34.0825,11.45279094607709,0.6476587265867019,True
....Quezon,Ampalaya fruit [Bitter gourd],2017 November,55.35,2017,November,2017-11-01,41.5,33.37349397590362,34.762499999999996,12.496478867701454,1.6474640751172476,False
....Quezon,Ampalaya fruit [Bitter gourd],2017 December,41.51,2017,December,2017-12-01,55.35,-25.00451671183379,34.875,12.555425122233016,0.5284568173044821,False
